name,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,status,trend,full
EU,2025-03-18,392.72,"3,495.22",11.24,413.51,"3,649.10","1,146.57","11,739.23","19,580.11",E,0,34.25
EU,2025-03-17,395.95,"3,495.22",11.33,327.87,"3,665.50","1,146.57","11,739.11","19,580.41",E,0,34.53
EU,2025-03-16,399.45,"3,495.22",11.43,506.88,"2,601.50","1,146.57","11,738.97","19,580.77",E,0,34.84
EU,2025-03-15,401.56,"3,495.22",11.49,501.74,"2,842.50","1,146.57","11,738.82","19,584.15",E,0,35.02
EU,2025-03-14,403.90,"3,495.22",11.56,335.8,"3,979.90","1,146.57","11,738.37","19,585.33",E,0,35.23
EU,2025-03-13,407.45,"3,495.22",11.66,264.64,"4,306.20","1,146.56","11,738.05","19,586.16",E,0,35.54
EU,2025-03-12,411.53,"3,495.22",11.77,313.3,"4,111.80","1,146.56","11,737.69","19,554.95",E,0,35.89
EU,2025-03-11,415.34,"3,495.22",11.88,356.19,"3,390.40","1,146.56","11,737.33","19,588.04",E,0,36.22
EU,2025-03-10,418.37,"3,495.22",11.97,661.62,"2,719.00","1,146.56","11,737.14","19,590.52",E,0,36.49
EU,2025-03-09,420.42,"3,495.22",12.03,"1,318.26","1,582.60","1,146.56","11,761.20","19,590.36",E,0,36.67
EU,2025-03-08,420.74,"3,495.22",12.04,"1,345.65","1,677.40","1,146.56","11,761.18","19,590.37",E,0,36.7
EU,2025-03-07,421.04,"3,495.22",12.05,729.13,"2,481.10","1,146.56","11,761.11","19,590.54",E,0,36.72
EU,2025-03-06,422.79,"3,495.22",12.1,739.07,"2,924.80","1,146.56","11,761.10","19,590.57",E,0,36.87
EU,2025-03-05,424.94,"3,495.22",12.16,448.28,"3,393.30","1,146.56","11,751.94","19,559.84",E,0,37.06
EU,2025-03-04,427.82,"3,495.22",12.24,388.48,"4,039.10","1,146.56","11,760.64","19,667.40",E,0,37.31
EU,2025-03-03,431.41,"3,495.22",12.34,270.88,"4,329.10","1,146.56","11,760.41","19,668.00",E,0,37.63
EU,2025-03-02,435.47,"3,495.22",12.46,475.92,"3,454.70","1,146.56","11,760.11","19,668.77",E,0,37.98
EU,2025-03-01,438.36,"3,495.22",12.54,220.08,"3,903.40","1,146.56","11,759.84","19,669.49",E,0,38.23
EU,2025-02-28,442.02,"3,495.22",12.65,172.02,"7,227.40","1,147.75","11,757.28","19,679.37",E,-1,38.51
EU,2025-02-27,449.03,"3,495.22",12.85,240.02,"5,038.70","1,147.75","11,756.89","19,680.37",E,0,39.12
EU,2025-02-26,453.83,"3,495.22",12.98,361.34,"4,874.80","1,147.75","11,747.76","19,648.58",E,0,39.54
EU,2025-02-25,458.25,"3,495.22",13.11,442.41,"4,678.60","1,147.75","11,756.46","19,681.52",E,0,39.93
EU,2025-02-24,462.45,"3,495.22",13.23,814.03,"4,199.50","1,147.75","11,756.59","19,681.18",E,0,40.29
EU,2025-02-23,465.84,"3,495.22",13.33,"1,186.05","3,396.10","1,147.75","11,756.74","19,680.76",E,0,40.59
EU,2025-02-22,468.06,"3,495.22",13.39,833.25,"3,841.90","1,147.99","11,756.99","19,680.12",E,0,40.77
EU,2025-02-21,471.00,"3,495.22",13.48,683.64,"4,980.20","1,147.99","11,757.03","19,680.02",E,0,41.03
EU,2025-02-20,475.23,"3,495.22",13.6,437.32,"6,572.70","1,147.99","11,756.95","19,686.21",E,-1,41.4
EU,2025-02-19,481.36,"3,495.22",13.77,269,"7,924.40","1,147.99","11,747.57","19,655.10",E,-1,41.93
EU,2025-02-18,488.86,"3,495.22",13.99,167.09,"8,695.70","1,147.75","11,756.06","19,688.56",E,-1,42.59
EU,2025-02-17,497.41,"3,495.22",14.23,112.32,"8,659.10","1,147.75","11,755.50","19,690.04",E,-1,43.34
EU,2025-02-16,505.77,"3,495.22",14.47,267.72,"6,553.60","1,147.75","11,755.07","19,691.19",E,-1,44.07
